G80	G1	-
G2	G1	-
G17	G1	+
G15	G2	-
G3	G2	+
G9	G4	-
G14	G4	-
G8	G4	+
G1	G4	+
G5	G4	-
G22	G5	+
G4	G6	-
G4	G7	-
G9	G8	-
G11	G8	-
G4	G10	-
G9	G11	-
G10	G12	+
G12	G13	+
G15	G14	+
G17	G15	+
G22	G15	+
G20	G15	+
G15	G16	-
G75	G17	+
G17	G18	-
G17	G19	+
G17	G20	+
G22	G20	+
G25	G20	+
G17	G21	+
G31	G21	+
G30	G22	-
G20	G23	-
G69	G23	-
G22	G23	-
G25	G23	+
G50	G23	-
G20	G24	-
G28	G24	-
G32	G24	+
G59	G24	+
G22	G24	+
G38	G25	-
G23	G26	+
G66	G26	+
G31	G26	+
G56	G26	+
G93	G26	-
G83	G26	+
G57	G26	+
G55	G26	+
G37	G26	+
G91	G26	-
G28	G26	-
G47	G26	-
G79	G26	-
G43	G26	-
G17	G26	+
G25	G26	+
G67	G26	+
G20	G27	+
G17	G27	+
G54	G28	+
G81	G28	+
G60	G28	+
G42	G28	+
G56	G28	-
G59	G28	-
G30	G28	-
G72	G28	-
G64	G28	+
G40	G28	-
G56	G29	-
G22	G29	+
G65	G29	+
G28	G29	+
G33	G29	+
G57	G31	+
G54	G31	+
G30	G32	-
G40	G32	-
G39	G33	-
G47	G33	-
G28	G33	-
G65	G33	-
G56	G33	-
G28	G34	-
G22	G34	+
G45	G35	-
G54	G35	-
G36	G35	-
G48	G35	-
G28	G35	-
G65	G35	+
G57	G35	-
G85	G35	-
G84	G35	-
G51	G35	-
G79	G35	+
G75	G35	-
G68	G35	-
G93	G35	-
G33	G35	-
G81	G35	-
G46	G35	-
G47	G35	-
G38	G35	-
G86	G35	+
G37	G35	+
G91	G35	+
G64	G35	+
G26	G35	+
G28	G36	-
G49	G37	+
G54	G37	+
G60	G37	+
G81	G37	+
G43	G37	-
G38	G37	-
G55	G37	-
G57	G37	-
G42	G37	-
G72	G37	-
G40	G37	-
G59	G37	+
G28	G37	-
G97	G37	-
G56	G37	-
