G3	G2	+
G1	G2	+
G4	G2	+
G4	G5	+
G4	G6	+
G4	G7	+
G4	G8	+
G4	G9	+
G4	G10	+
G4	G11	+
G4	G12	-
G4	G13	-
G17	G14	+
G4	G14	+
G4	G15	+
G17	G15	+
G23	G16	+
G19	G16	-
G21	G16	-
G4	G16	-
G28	G17	+
G17	G18	+
G23	G20	+
G19	G20	+
G24	G20	-
G4	G20	-
G21	G20	-
G23	G21	+
G17	G22	+
G21	G22	-
G22	G25	-
G23	G26	-
G23	G27	+
G38	G29	-
G22	G29	+
G23	G30	+
G38	G31	-
G22	G31	+
G28	G32	+
G22	G33	-
G38	G33	-
G38	G34	+
G22	G34	-
G22	G35	+
G38	G35	+
G23	G36	-
G44	G37	-
G21	G37	+
G22	G38	-
G17	G38	-
G38	G39	-
G38	G40	-
G38	G41	-
G38	G42	-
G38	G43	+
G21	G44	+
G23	G45	-
G50	G45	+
G38	G46	-
G38	G47	+
G23	G48	+
G17	G49	+
